source,job_id,detail_url,title,company,location,posted_date,employment_type,salary,classification,sub_classification,seniority_level,job_function,industry,short_description,job_description,scraped_at
jobstreet,93541776,https://id.jobstreet.com/id/job/93541776?type=standard&ref=search-standalone,Junior Developer/Programmer,PT Bali Biasa Indah Koleksi,"Badung, Bali",1 hari yang lalu,Kontrak/Temporer,,(Teknologi Informasi & Komunikasi),Developer/Programmer,,,,"THR, BPJS Kesehatan & BPJS Ketenagakerjaan","Junior Developer/Programmer
About The Company
BIASA is a leading luxury fashion and lifestyle brand, founded in Bali in 1994, renowned for its sophisticated design, artisanal craftsmanship, and dedication to timeless style. With an international presence, BIASA combines creative excellence with a strong heritage.
Job Summary
BIASA is seeking a Junior Developer/Programmer who is passionate about technology and problem-solving to develop, maintain, and improve internal systems that support our manufacturing and retail business processes.
Key Responsibilities
·         Database Management: Develop and optimize SQL Server databases to track garment production cycles, raw material inventory, and retail stock levels.
·         Logic Implementation: Design and maintain robust Stored Procedures to handle complex business processes, including stock reconciliation, production reporting, and sales audits.
·         Backend Development: Build and maintain secure, scalable APIs and services using ASP.NET Core to support our internal business applications.
·         System Integrity: Ensure data accuracy across all manufacturing and retail platforms through proactive monitoring and performance tuning.
Required Technical Skills
·         SQL Server: Intermediate proficiency in database design, complex query writing, and data normalization.
·         Stored Procedures: Strong experience in writing, debugging, and optimizing Stored Procedures for high-volume data transactions.
·         ASP.NET Core: Proficiency in developing backend services and APIs with a focus on reliability and security.
·         Analytical Thinking: Ability to translate complex garment production/retail operational needs into efficient database logic.
Qualifications
·         Experience in the Garment, Fashion Retail, or Manufacturing industry.
·         Prior experience working with ERP systems or inventory/production tracking software.
·         Ability to work in an environment where precision and data accuracy are critical to operational success.
·         Good command of English, both spoken and written (preferred).
·         Strong organizational, time-management, and multitasking skills.
·         Excellent communication and interpersonal skills.
·         Detail-oriented, proactive, and able to work independently.
·         Able to handle confidential information with professionalism.
Working Hours
08.30 AM to 17.30 PM, 5 days a week.
Location
Kerobokan Kelod, Kec. Kuta Utara, Kab. Badung, Bali.",2026-07-25T20:52:50
jobstreet,93361537,https://id.jobstreet.com/id/job/93361537?type=standard&ref=search-standalone,Data Center Engineer (Junior Level),PT ABISHAR TECHNOLOGIES INDONESIA,"Tangerang, Banten",1 hari yang lalu,Kontrak/Temporer,Rp 5.800.000 – Rp 7.000.000 per month,(Teknik),Teknik Elektro/Elektronik,,,,Data Center Engineer,"Qualifications
Minimum Bachelor's degree (S1) in Information Technology, Computer Engineering, Electrical Engineering, or a related field
Fresh graduates with internship experience are welcome to apply, or candidates with up 1-2 years as Data Center Engineer or similar position
Experienced in handling hardware server
Experienced in handling mechanical and electrical systems
Detail-oriented, responsible, and able to work independently as well as in a team
Willing to work on-site (WFO)",2026-07-17T22:47:01
jobstreet,93556045,https://id.jobstreet.com/id/job/93556045?type=standard&ref=search-standalone,IT Internal Audit Assistant Manager (Talent Pool) - Assistant Manager,Erajaya Group,Jakarta Raya,4 jam yang lalu,Full time,,(Akuntansi),Audit – Internal,,,,"Conduct periodic review of the project audit assignment process (daily/ weekly/ bi-weekly/monthly/yearly) with the Head of Audit.
Create audit...","Job Description
Job Description:
Create yearly audit plan and audit program.
Create risk-based audit.
Conduct periodic review of the project audit assignment process (daily/ weekly/ bi-weekly/monthly/yearly) with the Head of Audit.
Create audit reports and make revisions if necessary.
Reporting audit results to the Head of Audit and Auditee and assisting in meeting process to follow-up action plan.
Assist preparation and monitoring of the implementation of policies, SOPs, and work conditions carried out by the relevant team.
Monitor Audit KPI monthly and yearly
Create improvement program with other departments based on internal assessment results.
Job Requirements
Job Requirement:
Minimum Bachelor's Degree in Accounting, or equivalent
Minimum has 5 years of working experience in Internal Audit
Experience in handle IT Audit
Willing to travel
Excellent interpersonal & communication skills both oral and written
Fluent in English
Have certification CISA is an advantage",2026-07-25T20:52:50
linkedin,4426744040,https://id.linkedin.com/jobs/view/it-senior-data-engineer-at-thales-4426744040,IT Senior Data Engineer,Thales,"Jakarta, Jakarta, Indonesia",2026-07-14,Full-time,,,,Not Applicable,Information Technology,Aviation and Aerospace Component Manufacturing and Defense and Space Manufacturing,,"Location: Jakarta, Indonesia
Thales is a global technology leader trusted by governments, institutions, and enterprises to tackle their most demanding challenges. From quantum applications and artificial intelligence to cybersecurity and 6G innovation, our solutions empower critical decisions rooted in human intelligence. Operating at the forefront of aerospace and space, cybersecurity and digital identity, we’re driven by a mission to build a future we can all trust.
Thales has been present in the Republic of Indonesia for 45 years in the defence, aerospace and space domains, delivering a wide range of civil and defence solutions that highlight our strong commitment to working with the Indonesian government and local stakeholders. In recent years, our innovative solutions in air traffic management systems and telecom satellites have further strengthened our presence in the country alongside our digital portfolio of solutions such as biometrics, data protection and cybersecurity now serving the needs of diverse customers in civil sectors.
WHO ARE YOU?
You have a strong educational background in Computing Engineering and/or Data sciences with at least 10 years of professional experience
Your core working experience relies on data processing, data management, ETL
You are known as being at ease in international working environment, especially with remote teams and managers
You have a long and proven experience in TALEND suite, from development to deployment, having solution performance constantly in mind
You have implemented several data models based on star schema within ETL process, and can design and implement efficient SQL requests. You have basic knowledge of constellation data model. Ideally you have a good experience of Google Big Query
You are good at proposing innovative solutions in complex technical environment, and at challenging existing solutions, unsuitable process or development
You believe that working in the data processing chain is not limited to data transport, connection of data sources to requester’s application but extend up to understanding the business expectations, rules and goals
Fluent written and spoken English is required in order to work constantly with our foreign based teams and managers
WHAT WE CAN ACHIEVE TOGETHER:
Within IS/IT Operations Department, its IS/IT Performance division aims at improving, monitoring and measuring main IS/IT status indicators.
This division guarantees FinOps activities for all services hosted in the Cloud. FinOps scope and activity is backed up by nearly real time data visualization about costs of IT services consumptions. Most of these services come from Cloud Services providers (external or internal)(GCP, Azure…) and are consumed by Thales staff.
Thus, we are looking for an expert in data engineering which will work closely with teams based in France. These teams are mainly FinOps team, Cloud Center of Excellence, Data practice leader and experts.
You will be member of the Finops team directly attached to Thales IS/IT Performance division. As such you will take your goals from Cloud Operations team in charge of FinOps activities.
You will be in charge to
Data Transformation chain from end to end
Follow best practices and guidelines for Talend Data Management tool, from development to deployment
Contribute to definition and implement standards according to specifications and rules from ETL tech lead Data practice lead
Develop the necessary codes and modules from the data sources up to the SSAS cube
Design, develop, test, integrate, deploy the full data processing pipeline, from connecting to sources, through data staging, operational data store, data warehouse, cube SSAS and MS-PowerBI
Monitor the quality of data and its completeness, which implies to build alerting and automation system
Knowledge transfer and reverse engineering
Get the knowledge from existing documents and/or Data engineer in post
Write down all necessary documents about architecture, workflow, data processing and business rules
Build and keep a safe and consistent reference corpus enabling either the data team to grow and onboard new colleagues or give a comprehensive view to FinOps teams
Rebuild the knowledge and document from existing code and process when necessary
Implement carbon impact monitoring in collaboration with the IT Sustainability Manager
Fast growing data processing scope
Analyze how to connect new data sources which may be from CSP or Thales internal IT services
Adapt the data model to host these new sources and data
Create and run test plan to guarantee non regression with respect to Preproduction and Production version of application
Interview the technical team, application owners for all new sources in order to achieve an efficient onboarding of new services within FinOps Dashboard
At Thales, we’re committed to fostering a workplace where respect, trust, collaboration, and passion drive everything we do. Here, you’ll feel empowered to bring your best self, thrive in a supportive culture, and love the work you do. Join us, and be part of a team reimagining technology to create solutions that truly make a difference – for a safer, greener, and more inclusive world.",2026-07-25T20:52:50
jobstreet,93498449,https://id.jobstreet.com/id/job/93498449?type=standard&ref=search-standalone,Data Engineer,Kawan Lama Group,Jakarta Raya,3 hari yang lalu,Full time,,(Teknologi Informasi & Komunikasi),Pengembangan & Administrasi Database,,,,"Pipeline Development : Design, develop, and maintain robust ETL/ELT (Extract, Transform, Load) pipelines to move data from operational databases...","Deskripsi Pekerjaan
Key Responsibilities
Pipeline Development :
Design, develop, and maintain robust ETL/ELT (Extract, Transform, Load) pipelines to move data from operational databases and external APIs into our data warehouse.
Data Modeling :
Architect scalable data models (Star Schema, Snowflake, Data Vault) to ensure high performance and ease of use for end-users.
Infrastructure Management :
Manage cloud-based data environments (AWS, GCP, or Azure) and orchestrate workflows using tools like Apache Airflow or Prefect.
Data Quality & Governance :
Implement automated testing and monitoring to ensure data integrity, security, and compliance with privacy regulations (GDPR/CCPA).
Collaboration :
Partner with Data Scientists to prepare ""feature stores"" and with Business Intelligence (BI) Analysts to optimize query performance.
Required Qualifications
Bachelor’s degree in Computer Science, Information Technology, or related field
Proven experience as a Data Engineer or similar role
Strong proficiency in SQL and database management (e.g., PostgreSQL, MySQL)
Experience with programming languages such as Python, Java, or Scala
Hands-on experience with ETL tools and data pipeline frameworks
Familiarity with cloud platforms (e.g., AWS, GCP, or Azure)
Understanding of data warehousing concepts and modeling (e.g., star/snowflake schema)
Preferred Qualifications
Experience with big data technologies (e.g., Apache Spark, Hadoop)
Knowledge of workflow orchestration tools (e.g., Airflow)
Familiarity with containerization (Docker, Kubernetes)
Experience with streaming data (e.g., Kafka)
Understanding of data security and compliance standards",2026-07-25T09:34:19
linkedin,4268217099,https://id.linkedin.com/jobs/view/machine-learning-engineer-at-kredivo-group-4268217099,Machine Learning Engineer,Kredivo Group,Jakarta Metropolitan Area,2026-06-26,Full-time,,,,Not Applicable,Engineering and Information Technology,Financial Services,,"At Kredivo we are building the future of financial services that are fast, cheap and widely accessible, wrapped up in a beautiful UX. As we are growing bigger, we are looking for
Machine Learning Engineer
who will closely collaborate with Data Science team in feeding data (across functions such as, credit scoring, fraud, and risk) into financial models defined by data scientists. You will also be responsible to make sure that data science code is maintainable, scalable and debuggable.
Job Responsibility
Develop and implement ML pipeline infrastructure, including but not limited to: ETL (Extract, Transform and Load) of raw data into model features and building platform to automate ML training, testing and maintenance.
Partnering with Data Scientists to transform prototypes of predictive models into high performance, well integrated systems.
Qualifications
2-3 years of relevant experience in Data or Software Engineering and minimum 1-2 years hands-on experience in deploying machine learning models and feature pipelines
Having good knowledge of data structures, data modeling and software architecture related to Machine Learning
Ability to write robust production-ready code in Python & GoLang
High degree of proficiency with RDBMS (i.e. MySQL, PostgreSQL) and No-SQL platforms (i.e. S3)
Proficiency in machine learning libraries such as: Tensorflow/Keras, Pytorch, SparkML or MLeap
Strong interest in building scalable and reliable Machine Learning Engineering/AI related services
Past experience working with cloud services platform to build data pipelines, monitoring, scheduler and storage, preferably on AWS environment.
Familiarity using a distributed computing platform, such as Hadoop or Spark
Thank you for your interest in Kredivo. We’re thrilled that you’d like to join our company. Unfortunately, days are short and applicants are many, so we won’t have time to meet everyone. If you are among qualified candidates, you will receive a call or email from our Talent Acquisition team.",2026-07-17T22:45:51
jobstreet,93486396,https://id.jobstreet.com/id/job/93486396?type=standard&ref=search-standalone,Pengajar Komputer AI (Part Time),Binus Center,"Jakarta Barat, Jakarta Raya",3 hari yang lalu,Paruh waktu,,(Pendidikan & Pelatihan),Pengajaran – Pendidikan Menengah,,,,"Pengajar Part Time AI: ChatGPT, Canva AI, CapCut, berpengalaman mengajar.Bahasa inggris aktif","Binus Center
membuka kesempatan bagi Anda yang memiliki minat mengajar dan menguasai AI untuk menjadi
Pengajar Part Time
di tingkat
SMA
.
Kualifikasi :
Minimal Luslusan S1 dari jurusah komputer atau jurusan yang berhubungan
Dapat menguasai beberapa agent seperti Gemini, Chat GPT, DeepSeek, Qwen, Claude AI dan lainnya, prompting untuk analisa data / dokumen, Prompting pembuatan gambar dan variasi, Prompting video serta variasi, Prompting sound
Menguasai Canva AI (design grafis, dan design website)
Menguasai Capcut
Bahasa Inggris aktif
Memiliki pengalaman mengajar
Memiliki waktu 1-2 hari untuk mengajar di pagi hari
Bagi yang berminat silakan mengirim cv lengkap",2026-07-25T09:34:19
linkedin,4437027129,https://id.linkedin.com/jobs/view/data-engineer-at-pt-prodia-widyahusada-tbk-4437027129,Data Engineer,PT Prodia Widyahusada Tbk,Jakarta Metropolitan Area,2026-07-08,Full-time,,,,Associate,Information Technology,Hospitals and Health Care,,"Requirement:
Bachelor's Degree in Informatics Engineering / Information System / Computer Science.
Minimum GPA 3.00 (scale 4.00)
Have experience with data modeling, ETL development and data warehousing, min 1 Years
Have skills in basic programming languages (Pyhton, Java or Scala is ad advantage) , queries, ETL Tools and APIs
Familiar with unstructured database, hdfs, monggo and structured database Oracle, MySQL, MS SQL and postgree.
Familiar with Windows and Linux server.
Having experience in Big Data and Business Intelligent is an advantage.
Familiar with IRIS database is an advantage.
Able communicate in English.
Job description:
Manage data pipelines from data sources.
Develop, modify, improve, and enhance new functionality in the data pipeline and document the ETL design.
Ensure user and receive requested data that can be used responsibly.
Transfer knowledge in data management and data analysis.",2026-07-27T09:21:59
jobstreet,93496197,https://id.jobstreet.com/id/job/93496197?type=standard&ref=search-standalone,AI Developer,Sumber Berkat Group,Jakarta Raya,2 hari yang lalu,Full time,,(Teknologi Informasi & Komunikasi),Developer/Programmer,,,,Join us to develop innovative AI applications using modern full-stack technologies for leading global brands.,"PT Anugerah Makmur Sentosa Abadi
, part of
Sumber Berkat Group
, is one of Indonesia's leading distribution companies, established in 1971. We specialize in distributing internationally renowned brands across automotive, consumer electronics, and lifestyle products, including
JBL, Sony, Harman Kardon, Bosch, Hella, Nolan
, and many more.
Location:
Petojo, Central Jakarta
Key Responsibilities:
Design, develop, and maintain full-stack web applications.
Build responsive and user-friendly frontend interfaces.
Develop scalable backend services and RESTful APIs.
Design and manage relational and NoSQL databases.
Integrate AI technologies such as OpenAI, Gemini, Claude, or other LLMs into business applications.
Develop AI-powered features including chatbot, document processing, automation, recommendation systems, or intelligent search.
Collaborate with cross-functional teams to translate business requirements into technical solutions.
Perform testing, debugging, deployment, and application maintenance.
Optimize application performance, scalability, and security.
Stay updated with the latest AI technologies and software development best practices.
Requirements
Bachelor's Degree in Computer Science, Information Technology, Software Engineering, or related field.
Minimum
2 years of experience
as a Full Stack Developer or Software Engineer.
Fresh Graduates with exceptional portfolios or AI projects are welcome to apply.
Strong proficiency in JavaScript/TypeScript.
Experience with frontend frameworks such as
React.js, Next.js, Vue.js, or Angular
.
Experience with backend development using
Node.js (Express/NestJS)
or
Python (FastAPI, Django, Flask)
.
Experience working with
MySQL, PostgreSQL, SQL Server, or MongoDB
.
Strong understanding of RESTful API development and system integration.
Familiar with Git, Docker, and deployment processes.
Experience integrating AI APIs (OpenAI, Gemini, Claude, Azure OpenAI, etc.) is highly preferred.
Knowledge of Prompt Engineering, RAG (Retrieval-Augmented Generation), LangChain, LlamaIndex, or AI Agents will be an advantage.
Strong analytical thinking and problem-solving skills.
Good communication skills and ability to work collaboratively.
Must be willing to work on Saturdays (Half-Day).
Willing to work
On-site
at our Head Office in
Petojo, Central Jakarta
.",2026-07-25T09:34:19
jobstreet,93585434,https://id.jobstreet.com/id/job/93585434?type=standard&ref=search-standalone,Governance professional (Associate) – Asset Management,Macquarie Group,Indonesia,3 jam yang lalu,Full time,,(Teknologi Informasi & Komunikasi),Analis Bisnis/Sistem,,,,"Working within Macquarie Asset Management’s Credit and Insurance business, you will provide governance and company secretarial support across a...","Additional office locations
London
Job ID
23146
Date
17-Jul-2026
Permanent - Full time, Junior, Mid-level
Job category
Asset Management, Legal
Working within Macquarie Asset Management’s Credit and Insurance business, you will provide governance and company secretarial support across a diverse portfolio of group and managed entities throughout Europe. Collaborating closely with legal colleagues and key stakeholders, you will help establish and maintain private fund structures, oversee governance processes and outsourced service providers, support boards and entity management activities, and contribute to the successful delivery of new business initiatives. Your work will help ensure strong governance practices, regulatory compliance, and efficient operational outcomes across a growing business. While Macquarie offers hybrid working for many of our roles, this role does require 4 days a week in our advertised location.
Working within Macquarie Asset Management’s Credit and Insurance business, you will provide governance and company secretarial support across a diverse portfolio of group and managed entities throughout Europe. Collaborating closely with legal colleagues and key stakeholders, you will help establish and maintain private fund structures, oversee governance processes and outsourced service providers, support boards and entity management activities, and contribute to the successful delivery of new business initiatives. Your work will help ensure strong governance practices, regulatory compliance, and efficient operational outcomes across a growing business. While Macquarie offers hybrid working for many of our roles, this role does require 4 days a week in our advertised location.",2026-07-27T17:05:25
linkedin,4439071728,https://id.linkedin.com/jobs/view/it-technician-indonesia-at-telus-digital-4439071728,IT Technician (Indonesia),TELUS Digital,"Bali, Indonesia",2026-07-10,Full-time,,,,Mid-Senior level,Information Technology,IT Services and IT Consulting,,"IT Operations Analyst is responsible to provide first line support to internal and external
clients, administration staff and IT Support Analysts in assisting them with additional
hardware and software and hardware requirements and making sure that the systems are
working properly according to company standards. He is responsible for providing technical
support to both operations and staff, always looking for continuous improvement in the
processes established, and is also responsible for ensuring the availability of computing
resources to the organization.
Main Responsibilities:
● Provide technical support to the various technological platforms of the company
(hardware, software) and implementing security policies, ensuring connectivity
systems, patching, coordinate and monitor the implementation of best practices
and support projects, support the area of technology in the development and
operation of accounts, among others
● Physical and Remote Support
● To maintain a high degree of customer service for all support queries and
adhere to all service management principles.
● To take ownership of user problems and be proactive when dealing with user
issues.
● Respond to inquiries from internal clients and help them resolve any hardware
or software problems.
● Support users in the use of computer equipment by providing necessary training
and advice.
● To perform changes on distro lists and organizational units within G-suite
● To complete updates, patches, and software deployments.
● To perform VLAN Changes
● Serve as the main POC for any IT related activities happening in the site or sites
under their scope
● Keep adequate IT Asset management controls for the assets under their
responsibility.
Specific Qualifications:
● Be able to participate in our 24X7 rotation schedule (nights, weekends, and
holidays).
● No active disciplinary processes
● Knowledge of Virtualization technologies under windows and Linux - Required
● Intermediate knowledge on software deployment
● Intermediate Network Knowledge (VLAN Changes, Port configuration)
● Intermediate Active Directory knowledge is required.
● Remote Support previous experience and knowledge
● Bomgar management - desirable
● Intermediate Avaya Console Management knowledge is required.
● Distrolist groups and Organizational units knowledge is required
● Strong IT troubleshooting - Required (Hardware/Software and Networking)
Skills:
● Teamwork
● Problem-Solving
● Collaborating
● Remote support
● Client service oriented
● Strong interpersonal and customer service skills
● Strong verbal and written communication skills.
● Faster adaptation to technology changes
Education/Experience and Knowledge:
● IT, Systems Engineering, Computer Science or related careers.
● Proof of PC skills (installation, configuration, troubleshooting, and maintenance)
- Required
● Technology certifications (A + , Network + , Server + , MCP , CCNA, ITIL,etc. )",2026-07-27T09:21:59
jobstreet,93545228,https://id.jobstreet.com/id/job/93545228?type=standard&ref=search-standalone,JUNIOR NETWORK ENGINEER,PT. INTERNET PRATAMA INDONESIA TBK,Jakarta Raya,6 jam yang lalu,Full time,,(Teknologi Informasi & Komunikasi),Teknik – Jaringan,,,,Currently looking new talent with focus and passionate about ICT especially network technology and other infrastructure systems,"The
Junior Network Engineer
position is responsible for assisting in the maintenance and security of the company's network infrastructure to ensure stable and efficient IT operations.
Responsibilities :
Maintenance & Monitoring.
Perform regular preventive maintenance checks on network device (e.g. routers, switches, firewalls, access points, etc.). Monitor device health, system logs, and performance indicators to detect early signs of issues. Ensure firmware, patches, and configuration updates are properly implemented as instructed.
Troubleshooting & Support
.
Handle and resolve network issue tickets reported by users or systems quickly and accurately. Assist in configuration, testing and verifying network availability, connectivity, and redundancy.
Network Security
. Monitor suspicious network traffic, and assist with firewall configurations. Escalate identified issues or abnormalities to senior engineers for further action.
Documentation.
Maintain accurate inventory records of network equipment and their maintenance schedules. Document preventive maintenance results, including checklists, reports, and recommendations.
Qualifications :
Bachelor’s degree in Information Technology, Computer Science, or related field with min GPA 3,00
Basic understanding of networking concepts (OSI Layer, TCP/IP, VLANs, routing, switching).
Familiar with common network devices and operating systems.
Strong attention to detail and ability to follow structured procedures.
Good communication and documentation skills.
Willingness to learn and develop technical expertise in network engineering.
Willing to travel around Indonesia for some period of time",2026-07-24T15:19:51
jobstreet,93625167,https://id.jobstreet.com/id/job/93625167?type=standard&ref=search-standalone,Senior Analyst (Information Security & IT Audit),PT. BEIBI CEMERLANG INDONESIA,"Jakarta Pusat, Jakarta Raya",8 menit yang lalu,Kontrak/Temporer,Rp 8.000.000 – Rp 12.000.000 per month,(Teknologi Informasi & Komunikasi),Keamanan,,,,"Scope: implementasi & audit SMKI ISO/IEC 27001:2022, plus penugasan project-based bersama Anak Perusahaan Pertamina","🔐 WE'RE HIRING — Senior Analyst (Information Security & IT Audit)
PT Beibi Cemerlang Indonesia | Kontrak | Jakarta — Hybrid, onsite bila diperlukan
Scope: implementasi & audit SMKI ISO/IEC 27001:2022, plus penugasan project-based bersama Anak Perusahaan Pertamina.
WAJIB:
✅ S1 (ijazah dilampirkan)
✅ Sertifikat kelulusan uji kompetensi Implementor ATAU Auditor SNI ISO/IEC 27001 versi 2022
✅ Kurikulum uji kompetensi terdaftar di IRCA / PECB / Exemplar Global
⛔ Sertifikat versi 2013, transisi/konversi, atau pelatihan tanpa uji kompetensi tidak diproses
NILAI TAMBAH: CEH
📩 CV + ijazah + sertifikat →
••••@beibicemerlang.com
Subjek: Senior Analyst - [Nama Lengkap]
#Hiring #ISO27001 #SMKI #ITAudit #CyberSecurity #CEH #LowonganKerja",2026-07-29T05:05:46
jobstreet,93608172,https://id.jobstreet.com/id/job/93608172?type=standard&ref=search-standalone,IT Application Support,PT Inovasi Daya Solusi,"Jakarta Selatan, Jakarta Raya",27 menit yang lalu,Full time,,(Teknologi Informasi & Komunikasi),Teknik – Perangkat Lunak,,,,Come Join Us as IT Application Support Staff!,"Job Description
Act as first-level technical support for log investigation during operational incidents or error reports.
Escalate potential bugs or abnormal system behavior to the engineering/development team as needed.
Extract and organize data from logs to support operational needs.
Monitor and analyze system/application from various sources (e.g., Log, Datadog).
Requirements
Bachelor's Degree in Computer Science or equivalent
Minimum of 1 year of experience in Application Support.
Familiarity with financial transaction flows such as PPOB, Multifinance, Disbursement, and Payment Gateway (e.g., inquiry & payment processing, balance checking, settlement).
Strong knowledge and experience with API-based systems is a must.
Experience working with system logs, application logs, or monitoring tools (e.g., Datadog, new relic, grafana,dynatrace), and maintain alert.
Ability to respond quickly and accurately during incidents or service disruptions.
Clear written and verbal communication skills, especially in documenting investigation steps and explaining technical findings to non-technical stakeholders.
Able to work independently or collaboratively in a fast-paced and operationally critical environment.
Willing to be on-call or provide support outside regular hours during high-impact incidents (if needed).
Willing to work onsite (WFO) and in shifting schedules.",2026-07-28T09:05:28
jobstreet,93550289,https://id.jobstreet.com/id/job/93550289?type=standard&ref=search-standalone,Product Lead (Data Science),PT Global Digital Niaga (blibli.com),Jakarta Raya,1 hari yang lalu,Kontrak/Temporer,,(Teknologi Informasi & Komunikasi),Analis Bisnis/Sistem,,,,"Competitive Benchmarking: Research and benchmark competitor products/features, or identify opportunities through independent initiatives, to inform...","Deskripsi Pekerjaan
Job Description :
Requirements Gathering: Collect and consolidate requirements from other Product Managers, business units, and stakeholders across the organization.
Competitive Benchmarking: Research and benchmark competitor products/features, or identify opportunities through independent initiatives, to inform data science product direction.
PRD Development: Translate gathered requirements into a detailed Product Requirement Document (PRD), clearly outlining the problem, scope, data inputs, expected outcomes, and success metrics.
Requirement Detailing to DS Tech: Communicate and elaborate requirements in technical detail to the Data Science Tech team, including recommending the type of DS approach/model that should be considered (e.g., classification model, NLP-based detection, computer vision, etc.).
Data Source Definition: Determine and specify which data sources should be used for detection/prediction (e.g., product images vs. product descriptions).
Integration Planning: Define how the data science solution should integrate with existing systems (e.g., Blibli Seller Center), including workflow, triggers, and touchpoints.
Cross-functional Coordination: Work closely with DS Tech, engineering, and product teams throughout development to ensure the solution aligns with the original business requirement.
Requirement:
3–4 years of product management experience, ideally in e-commerce
Should have good knowledge of Data Science / AI
Solid technical understanding, with the ability to work closely with engineering and DS teams
Exposure to or working knowledge of DS / ML concepts (a strong plus)
Experience translating business problems into well-defined product requirements (PRDs, success metrics)
Strong stakeholder management and communication skills, comfortable working across squads
Data-driven mindset, with the ability to use analytics to prioritise and measure impact",2026-07-25T09:34:19
jobstreet,93578625,https://id.jobstreet.com/id/job/93578625?type=standard&ref=search-standalone,Fullstack AI Engineer,PT Karisma Zona Kreatifku,"Karanganyar, Jawa Tengah",1 jam yang lalu,Full time,Rp 4.000.000 – Rp 5.000.000 per month,(Teknologi Informasi & Komunikasi),Developer/Programmer,,,,"Fullstack AI Engineer yang dapat membangun, mengintegrasikan AI dengan Bisnis perusahaan","Fullstack AI Developer
Kontrak 3 bulan (extendable)
Onsite: Karanganyar, Solo, Jawa Tengah
Responsibilities
* Mengembangkan dan mengimplementasikan solusi berbasis AI sesuai kebutuhan bisnis.
* Membangun dan mengoptimalkan model Machine Learning atau Generative AI.
* Mengintegrasikan solusi AI dengan sistem dan aplikasi perusahaan.
* Berkolaborasi dengan tim dalam mengembangkan inovasi berbasis AI.
* Melakukan monitoring dan evaluasi performa solusi AI.
Qualifications
* Minimal S1 Informatika, Ilmu Komputer, Data Science, AI, atau bidang terkait.
* Familiar dengan ekosistem teknologi Generative AI (LLM, Ollama, LangChain, dll.) serta pengembangan API menjadi nilai tambah.
* Menguasai bahasa pemrograman dan memahami konsep AI/Machine Learning.
* Memahami framework AI seperti TensorFlow, PyTorch, atau sejenisnya.
* Memiliki kemampuan analisis, problem solving, dan komunikasi yang baik.
* Memiliki portofolio atau pengalaman di bidang AI menjadi nilai tambah.",2026-07-27T09:21:59
linkedin,4432870881,https://id.linkedin.com/jobs/view/machine-learning-engineer-at-trinova-tech-solutions-4432870881,Machine Learning Engineer,Trinova Tech Solutions,"Jakarta, Jakarta, Indonesia",2026-06-24,Full-time,,,,Not Applicable,Engineering and Information Technology,IT Services and IT Consulting,,"Overview
Develop and deploy machine learning models for various business applications. Work with data scientists and engineers to implement AI solutions.
Key Responsibilities
Design, develop, and deploy machine learning models
Build and maintain ML pipelines for data processing and model training
Optimize model performance and scalability
Collaborate with cross-functional teams to integrate ML solutions
Stay updated with latest ML research and best practices
Requirements
3+ years of experience in machine learning engineering
Proficiency in Python and ML frameworks (TensorFlow, PyTorch)
Experience with MLOps tools and practices
Strong understanding of data structures and algorithms
Bachelor's degree in Computer Science, Mathematics, or related field",2026-07-17T22:45:51
